RM;LSTAT;PTRATIO;MEDV;normal;normal
6.575;4.98;15.3;504000;5,04;100000
6.421;9.14;17.8;453600;4,536;
7.185;4.03;17.8;728700;7,287;
6.998;2.94;18.7;701400;7,014;
7.147;5.33;18.7;760200;7,602;
6.43;5.21;18.7;602700;6,027;
6.012;12.43;15.2;480900;4,809;
6.172;19.15;15.2;569100;5,691;
5.631;29.93;15.2;346500;3,465;
6.004;17.1;15.2;396900;3,969;
6.377;20.45;15.2;315000;3,15;
6.009;13.27;15.2;396900;3,969;
5.889;15.71;15.2;455700;4,557;
5.949;8.26;21.0;428400;4,284;
6.096;10.26;21.0;382200;3,822;
5.834;8.47;21.0;417900;4,179;
5.935;6.58;21.0;485100;4,851;
5.99;14.67;21.0;367500;3,675;
5.456;11.69;21.0;424200;4,242;
5.727;11.28;21.0;382200;3,822;
5.57;21.02;21.0;285600;2,856;
5.965;13.83;21.0;411600;4,116;
6.142;18.72;21.0;319200;3,192;
5.813;19.88;21.0;304500;3,045;
5.924;16.3;21.0;327600;3,276;
5.599;16.51;21.0;291900;2,919;
5.813;14.81;21.0;348600;3,486;
6.047;17.28;21.0;310800;3,108;
6.495;12.8;21.0;386400;3,864;
6.674;11.98;21.0;441000;4,41;
5.713;22.6;21.0;266700;2,667;
6.072;13.04;21.0;304500;3,045;
5.95;27.71;21.0;277200;2,772;
5.701;18.35;21.0;275100;2,751;
6.096;20.34;21.0;283500;2,835;
5.933;9.68;19.2;396900;3,969;
5.841;11.41;19.2;420000;4,2;
5.85;8.77;19.2;441000;4,41;
5.966;10.13;19.2;518700;5,187;
6.595;4.32;18.3;646800;6,468;
7.024;1.98;18.3;732900;7,329;
6.77;4.84;17.9;558600;5,586;
6.169;5.81;17.9;531300;5,313;
6.211;7.44;17.9;518700;5,187;
6.069;9.55;17.9;445200;4,452;
5.682;10.21;17.9;405300;4,053;
5.786;14.15;17.9;420000;4,2;
6.03;18.8;17.9;348600;3,486;
5.399;30.81;17.9;302400;3,024;
5.602;16.2;17.9;407400;4,074;
5.963;13.45;16.8;413700;4,137;
6.115;9.43;16.8;430500;4,305;
6.511;5.28;16.8;525000;5,25;
5.998;8.43;16.8;491400;4,914;
5.888;14.8;21.1;396900;3,969;
7.249;4.81;17.9;743400;7,434;
6.383;5.77;17.3;518700;5,187;
6.816;3.95;15.1;663600;6,636;
6.145;6.86;19.7;489300;4,893;
5.927;9.22;19.7;411600;4,116;
5.741;13.15;19.7;392700;3,927;
5.966;14.44;19.7;336000;3,36;
6.456;6.73;19.7;466200;4,662;
6.762;9.5;19.7;525000;5,25;
7.104;8.05;18.6;693000;6,93;
6.29;4.67;16.1;493500;4,935;
5.787;10.24;16.1;407400;4,074;
5.878;8.1;18.9;462000;4,62;
5.594;13.09;18.9;365400;3,654;
5.885;8.79;18.9;438900;4,389;
6.417;6.72;19.2;508200;5,082;
5.961;9.88;19.2;455700;4,557;
6.065;5.52;19.2;478800;4,788;
6.245;7.54;19.2;491400;4,914;
6.273;6.78;18.7;506100;5,061;
6.286;8.94;18.7;449400;4,494;
6.279;11.97;18.7;420000;4,2;
6.14;10.27;18.7;436800;4,368;
6.232;12.34;18.7;445200;4,452;
5.874;9.1;18.7;426300;4,263;
6.727;5.29;19.0;588000;5,88;
6.619;7.22;19.0;501900;5,019;
