RM,LSTAT,PTRATIO,MEDV
6575,4.98,15.3,5.04
6421,9.14,17.8,4536
7185,4.03,17.8,7287
6998,2.94,18.7,7014
7147,5.33,18.7,7602
6.43,5.21,18.7,6027
6012,12.43,15.2,4809
6172,19.15,15.2,5691
5631,29.93,15.2,3465
6004,17.1,15.2,3969
6377,20.45,15.2,3.15
6009,13.27,15.2,3969
5889,15.71,15.2,4557
5949,8.26,21.0,4284
6096,10.26,21.0,3822
5834,8.47,21.0,4179
5935,6.58,21.0,4851
5.99,14.67,21.0,3675
5456,11.69,21.0,4242
5727,11.28,21.0,3822
5.57,21.02,21.0,2856
5965,13.83,21.0,4116
6142,18.72,21.0,3192
5813,19.88,21.0,3045
5924,16.3,21.0,3276
5599,16.51,21.0,2919
5813,14.81,21.0,3486
6047,17.28,21.0,3108
6495,12.8,21.0,3864
6674,11.98,21.0,4.41
5713,22.6,21.0,2667
6072,13.04,21.0,3045
5.95,27.71,21.0,2772
5701,18.35,21.0,2751
6096,20.34,21.0,2835
5933,9.68,19.2,3969
5841,11.41,19.2,4.2
5.85,8.77,19.2,4.41
5966,10.13,19.2,5187
6595,4.32,18.3,6468
7024,1.98,18.3,7329
6.77,4.84,17.9,5586
6169,5.81,17.9,5313
6211,7.44,17.9,5187
6069,9.55,17.9,4452
5682,10.21,17.9,4053
5786,14.15,17.9,4.2
6.03,18.8,17.9,3486
5399,30.81,17.9,3024
5602,16.2,17.9,4074
5963,13.45,16.8,4137
6115,9.43,16.8,4305
6511,5.28,16.8,5.25
5998,8.43,16.8,4914
5888,14.8,21.1,3969
7249,4.81,17.9,7434
6383,5.77,17.3,5187
6816,3.95,15.1,6636
6145,6.86,19.7,4893
5927,9.22,19.7,4116
5741,13.15,19.7,3927
5966,14.44,19.7,3.36
6456,6.73,19.7,4662
6762,9.5,19.7,5.25
7104,8.05,18.6,6.93
6.29,4.67,16.1,4935
5787,10.24,16.1,4074
5878,8.1,18.9,4.62
5594,13.09,18.9,3654
5885,8.79,18.9,4389
6417,6.72,19.2,5082
5961,9.88,19.2,4557
6065,5.52,19.2,4788
6245,7.54,19.2,4914
6273,6.78,18.7,5061
6286,8.94,18.7,4494
6279,11.97,18.7,4.2
6.14,10.27,18.7,4368
6232,12.34,18.7,4452
5874,9.1,18.7,4263
6727,5.29,19.0,5.88
6619,7.22,19.0,5019
6302,6.72,19.0,5208
6167,7.51,19.0,4809
6389,9.62,18.5,5019
6.63,6.53,18.5,5586
6015,12.86,18.5,4725
6121,8.44,18.5,4662
7007,5.5,17.8,4956
7079,5.7,17.8,6027
6417,8.81,17.8,4746
6405,8.2,17.8,4.62
6442,8.16,18.2,4809
6211,6.21,18.2,5.25
6249,10.59,18.2,4326
6625,6.65,18.0,5964
6163,11.34,18.0,4494
8069,4.21,18.0,8127
7.82,3.57,18.0,9198
7416,6.19,18.0,6972
6727,9.42,20.9,5775
6781,7.67,20.9,5565
6405,10.63,20.9,3906
6137,13.44,20.9,4053
6167,12.33,20.9,4221
5851,16.47,20.9,4095
5836,18.66,20.9,4095
6127,14.09,20.9,4284
6474,12.27,20.9,4158
6229,15.55,20.9,4074
6195,13.0,20.9,4557
6715,10.16,17.8,4788
5913,16.21,17.8,3948
6092,17.09,17.8,3927
6254,10.45,17.8,3885
5928,15.76,17.8,3843
6176,12.04,17.8,4452
6021,10.3,17.8,4032
5872,15.37,17.8,4284
5731,13.61,17.8,4053
5.87,14.37,19.1,4.62
6004,14.27,19.1,4263
5961,17.93,19.1,4305
5856,25.41,19.1,3633
